Keyword,URL,PageID,PageTypeID,BclgID,SoID,FilterString
wayfair closet system,https://www.wayfair.com/storage-organization/top-rated/best-closet-systems-with-reviews-c1833181.html,1833181,14,1,49,""
garage storage cabinets,https://www.wayfair.com/storage-organization/top-rated/best-garage-storage-cabinets-with-reviews-c421471.html,421471,14,1,49,""
fireplace mantels,https://www.wayfair.com/home-improvement/top-rated/best-fireplace-mantels-with-reviews-c215412.html,215412,14,1,49,""
best bath towels,https://www.wayfair.com/bed-bath/top-rated/best-bath-towels-with-reviews-c481941.html,481941,14,1,49,""
moen shower systems,https://www.wayfair.com/brand/top-rated/best-moen-shower-faucets-with-reviews-c531424.html,531424,14,1,49,""
best infant dressers,https://www.wayfair.com/baby-kids/top-rated/best-baby-kids-dressers-with-reviews-c216070.html,216070,14,1,49,""
36 inch closet organizer,https://www.wayfair.com/storage-organization/sbs/closet-systems-c1833181-q~36%20inch%20system.html,1833181,2,1,49,q~36%20inch%20system
aqua bath towels,https://www.wayfair.com/bed-bath/sbs/bath-towels-c481941-q~aqua.html,481941,2,1,49,q~aqua
towells,https://www.wayfair.com/bed-bath/sbs/beachcrest-home-bath-towels-c481941-q~bath%20towells-a29518~37308.html,481941,2,1,49,q~bath%20towells-a29518~37308
sculpted towels,https://www.wayfair.com/bed-bath/sbs/bath-towels-c481941-q~sculpted.html,481941,2,1,49,q~sculpted
corner closet organizer,https://www.wayfair.com/storage-organization/sbs/closet-systems-c1833181-q~63%20inch%20system.html,1833181,2,1,49,q~63%20inch%20system
closet systems,https://www.wayfair.com/storage-organization/sbs/closet-systems-c1833181-q~48%20x%2072%20system.html,1833181,2,1,49,q~48%20x%2072%20system
driftwood fireplace mantel,https://www.wayfair.com/home-improvement/sbs/fireplace-mantels-c215412-q~driftwood+fireplace+mantels.html,215412,2,1,49,q~driftwood+fireplace+mantels
soft towels,https://www.wayfair.com/bed-bath/sbs/bath-towels-c481941-q~super%20soft%20sets.html,481941,2,1,49,q~super%20soft%20sets
modern closet,https://www.wayfair.com/storage-organization/sbs/closet-systems-c1833181-q~modern%20system.html,1833181,2,1,49,q~modern%20system
wood fireplace mantels,https://www.wayfair.com/home-improvement/sbs/fireplace-mantels-c215412-q~hollow%20fireplace.html,215412,2,1,49,q~hollow%20fireplace
cranberry bath towels,https://www.wayfair.com/bed-bath/sbs/bath-towels-c481941-q~cranberry.html,481941,2,1,49,q~cranberry
driftwood mantel,https://www.wayfair.com/home-improvement/sbs/fireplace-mantels-c215412-q~driftwood%20fireplace-q~driftwood%20fireplace.html,215412,2,1,49,q~driftwood%20fireplace-q~driftwood%20fireplace
boho bath towel,https://www.wayfair.com/bed-bath/sbs/solid-bath-towels-c481941-q~boho-a18847~76150.html,481941,2,1,49,q~boho-a18847~76150
polywood deck box,https://www.wayfair.com/outdoor/sbs/deck-boxes-storage-c216025-q~outdoor+furniture+polywood.html,216025,2,1,49,q~outdoor+furniture+polywood
